carryingcap_is,carryingcap_main,crown_age,init_n_main_cls,init_n_main_sps,ana,clado_is,clado_main,ext_is,ext_main,mig_to_is,rng_seed,lambda_c,mu,K,gamma,lambda_a,loglik,df,conv,lambda_c,mu,K,gamma,lambda_a,loglik,df,conv
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,11,0.104222,4.24335e-05,3.00001,0.00113908,1123.45,-167.312,5,0,118.734,0.1925,1.00068,0.00271519,0.405889,-135.628,5,0
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,11,0.0840059,0.0327478,4.47709,0.00112294,0.152902,-145.095,5,0,0.102919,1.65467e-07,8.35189,0.000666962,0.0808626,-116.896,5,0
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,11,0.0921739,0.0538284,2.99988,0.00172748,0.35569,-177.191,5,0,0.0632908,1.4188e-06,6.86776,0.000800059,0.152943,-126.85,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,11,948.566,0.0145089,1.00004,0.00140096,0.153482,-174.533,5,0,0.0581704,7.69965e-09,1.34434e+06,0.000866631,0.208196,-142.551,5,0
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,12,0.104222,4.24335e-05,3.00001,0.00113908,1123.45,-167.312,5,0,0.086222,4.2896e-08,2.79172,0.00100077,0.236393,-149.182,5,0
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,12,0.120783,0.0852472,2.99997,0.00158147,74231.2,-138.064,5,0,0.0535801,3.39651e-08,6.31272,0.000865887,0.220403,-135.572,5,0
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,12,948.566,0.0145089,1.00004,0.00140096,0.153482,-174.533,5,0,0.146805,1.02558e-05,2.4616,0.000665344,123.054,-97.9398,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,12,948.566,0.0145089,1.00004,0.00140096,0.153482,-174.533,5,0,0.0450195,5.43285e-08,inf,0.000800089,18.0674,-118.075,5,0
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,13,0.104222,4.24335e-05,3.00001,0.00113908,1123.45,-167.312,5,0,0.102945,0.0075522,3.00002,0.00090683,0.248173,-132.605,5,0
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,13,0.0896023,3.76402e-06,26.7206,0.000730483,0.185346,-136.492,5,0,0.266719,0.154598,2.84438,0.00157867,80.5349,-115.158,5,0
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,13,0.0840059,0.0327478,4.47709,0.00112294,0.152902,-145.095,5,0,0.0976051,0.0992399,3.67916,0.00160462,75.8572,-127.308,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,13,0.0840059,0.0327478,4.47709,0.00112294,0.152902,-145.095,5,0,0.161047,0.0608328,3,0.00126444,36060.9,-138.034,5,0
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,14,0.349015,0.135943,4.02056,0.00129229,0.724476,-136.551,5,0,0.105845,0.0796817,3,0.00197113,0.487836,-173.732,5,0
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,14,0.0317358,1.37586e-08,6.07364,0.00086786,8822.91,-118.754,5,0,0.0592184,4.76321e-07,59657,0.000664248,0.133657,-121.59,5,0
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,14,0.100767,4.6275e-05,4.0007,0.00120602,0.306186,-186.399,5,0,0.0317358,1.37586e-08,6.07364,0.00086786,8822.91,-118.754,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,14,66.6361,2.41605e-09,1.00063,0.00114179,0.169549,-163.482,5,0,0.400167,0.15292,3,0.00141031,61020.8,-126.107,5,0
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,15,NA
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,15,13.4658,5.37919e-09,1.00377,0.000939992,0.248227,-136.155,5,0,0.0616395,1.8e-06,3.31542,0.000802627,0.383634,-116.895,5,0
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,15,66.6361,2.41605e-09,1.00063,0.00114179,0.169549,-163.482,5,0,0.266719,0.154598,2.84438,0.00157867,80.5349,-115.158,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,15,948.566,0.0145089,1.00004,0.00140096,0.153482,-174.533,5,0,0.146805,1.02558e-05,2.4616,0.000665344,123.054,-97.9398,5,0
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,16,39.354,0.0577002,1.00113,0.00152335,8879.84,-137.952,5,0,0.0433052,6.59635e-06,14309.6,0.000929249,0.227927,-147.08,5,0
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,16,0.104222,4.24335e-05,3.00001,0.00113908,1123.45,-167.312,5,0,0.0874769,1.64645e-07,4.00584,0.000934102,0.128625,-150.107,5,0
15,1100,15,1000,1000,0.87,0.2,0.44,0.09,0.04,0.002,16,0.149684,1.951e-09,2.25744,0.000803218,0.316285,-124.468,5,0,0.0601777,0.024348,inf,0.00130111,0.55474,-169.72,5,0
15,1100,15,1000,1000,0.87,0.2,0.22,0.09,0.02,0.002,16,0.0706588,3.31076e-09,9.7337,0.000934162,0.138679,-159.765,5,0,0.0617464,7.98572e-07,21.5492,0.000868905,0.533398,-137.853,5,0
15,1100,15,1000,1000,0.87,0.2,1.1,0.09,0.1,0.002,17,0.0605155,3.77315e-09,23.5468,0.000866938,0.445688,-138.576,5,0,0.0671196,8.36541e-07,3.43959,0.00113694,0.114405,-165.729,5,0
15,1100,15,1000,1000,0.87,0.2,0.88,0.09,0.08,0.002,17,0.349015,0.135943,4.02056,0.00129229,0.724476,-136.551,5,0,0.105845,0.0796817,3,0.00197113,0.487836,-173.732,5,0
